customerid,customername,customertype,country,city,state,postcode,regiontype
AA-10315,Alex Avila,Consumer,United States,Minneapolis,Minnesota,55407,Central
AA-10375,Allen Armold,Consumer,United States,Mesa,Arizona,85204,West
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South
AA-10645,Anna Andreadi,Consumer,United States,Chester,Pennsylvania,19013,East
AB-10015,Aaron Bergman,Consumer,United States,Seattle,Washington,98103,West
AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East
AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,West
AB-10150,Aimee Bixby,Consumer,United States,Long Beach,New York,11561,East
AB-10165,Alan Barnes,Consumer,United States,Los Angeles,California,90036,West
AB-10255,Alejandro Ballentine,Home Office,United States,Lorain,Ohio,44052,East
AB-10600,Ann Blume,Corporate,United States,Tucson,Arizona,85705,West
AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122,West
AC-10450,Amy Cox,Consumer,United States,Minneapolis,Minnesota,55407,Central
AC-10615,Ann Chong,Corporate,United States,New York City,New York,10009,East
AC-10660,Anna Chung,Consumer,United States,Huntsville,Texas,77340,Central
AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central
AF-10870,Art Ferguson,Consumer,United States,College Station,Texas,77840,Central
AF-10885,Art Foster,Consumer,United States,Louisville,Kentucky,40214,South
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West
AG-10300,Aleksandra Gannaway,Corporate,United States,Los Angeles,California,90049,West
AG-10330,Alex Grayson,Consumer,United States,Stockton,California,95207,West
AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,Ohio,45231,East
AG-10495,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,19140,East
AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,Florida,33710,South
AG-10675,Anna Gayman,Consumer,United States,Houston,Texas,77036,Central
AG-10765,Anthony Garverick,Home Office,United States,Philadelphia,Pennsylvania,19120,East
AG-10900,Arthur Gainer,Consumer,United States,Tucson,Arizona,85705,West
AH-10030,Aaron Hawkins,Corporate,United States,Philadelphia,Pennsylvania,19134,East
AH-10075,Adam Hart,Corporate,United States,New York City,New York,10011,East
AH-10120,Adrian Hane,Home Office,United States,Tucson,Arizona,85705,West
AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319,South
AH-10210,Alan Hwang,Consumer,United States,Brentwood,California,94513,West
AH-10465,Amy Hunt,Consumer,United States,New York City,New York,10035,East
AH-10585,Angele Hood,Consumer,United States,Chicago,Illinois,60623,Central
AH-10690,Anna Häberlin,Corporate,United States,New York City,New York,10024,East
AI-10855,Arianne Irving,Consumer,United States,Philadelphia,Pennsylvania,19120,East
AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South
AJ-10795,Anthony Johnson,Corporate,United States,Saint Petersburg,Florida,33710,South
AJ-10945,Ashley Jarboe,Consumer,United States,Wilmington,North Carolina,28403,South
AJ-10960,Astrea Jones,Consumer,United States,Rochester,New York,14609,East
AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central
AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South
AO-10810,Anthony ODonnell,Corporate,United States,Los Angeles,California,90045,West
AP-10720,Anne Pryor,Home Office,United States,New York City,New York,10035,East
AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,Florida,32137,South
AR-10345,Alex Russell,Corporate,United States,Lawrence,Massachusetts,1841,East
AR-10405,Allen Rosenblatt,Corporate,United States,Franklin,Massachusetts,2038,East
AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,19134,East
AR-10540,Andy Reiter,Consumer,United States,New York City,New York,10024,East
AR-10570,Anemone Ratner,Consumer,United States,Columbus,Georgia,31907,South
AR-10825,Anthony Rawles,Corporate,United States,Vancouver,Washington,98661,West
AS-10045,Aaron Smayling,Corporate,United States,Jacksonville,North Carolina,28540,South
AS-10090,Adam Shillingsburg,Consumer,United States,Charlottesville,Virginia,22901,South
AS-10135,Adrian Shami,Home Office,United States,New York City,New York,10035,East
AS-10225,Alan Schoenberger,Corporate,United States,New York City,New York,10024,East
AS-10240,Alan Shonely,Consumer,United States,Tampa,Florida,33614,South
AS-10285,Alejandro Savely,Corporate,United States,San Francisco,California,94109,West
AS-10630,Ann Steele,Home Office,United States,Pasadena,Texas,77506,Central
AT-10435,Alyssa Tate,Home Office,United States,Los Angeles,California,90004,West
AT-10735,Annie Thurman,Consumer,United States,Seattle,Washington,98115,West
AW-10840,Anthony Witt,Consumer,United States,Allen,Texas,75002,Central
AW-10930,Arthur Wiediger,Home Office,United States,Aurora,Illinois,60505,Central
AY-10555,Andy Yotov,Corporate,United States,Oceanside,California,92054,West
AZ-10750,Annie Zypern,Consumer,United States,New York City,New York,10009,East
BB-10990,Barry Blumstein,Corporate,United States,Inglewood,California,90301,West
BB-11545,Brenda Bowman,Corporate,United States,Houston,Texas,77070,Central
BC-11125,Becky Castell,Home Office,United States,Peoria,Arizona,85345,West
BD-11320,Bill Donatelli,Consumer,United States,San Francisco,California,94110,West
BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central
BD-11560,Brendan Dodson,Home Office,United States,Fresno,California,93727,West
BD-11605,Brian Dahlen,Consumer,United States,Lawrence,Massachusetts,1841,East
BD-11620,Brian DeCherney,Consumer,United States,San Francisco,California,94122,West
BD-11635,Brian Derr,Consumer,United States,Bowling Green,Kentucky,42104,South
